FR-50341-MONTE-NDETOI-X;FR-50341-MTEBO-NDETOI1-X
FR-50426-R.PLA-STLAUR-X;FR-50426-R_PLA-STLAUR1-X
FR-50615-VALOG-STMALO-X;FR-50615-VALOG-STMALO1-X
FR-50478-SSTOU-STGERM-X;FR-50478-SSTOU-STGERM1-X
FR-50099-CAREN-NDAME.-X;FR-50099-C_MAR-NDAMEV1-X
FR-50129-C.COT-STTRIN-T;FR-50129-C_COT-STTRIN1-T
FR-50147-COUTA-STPIER-X;FR-50147-COUTA-STPIER1-X
FR-50267-LESSA-EGLISE-X;FR-50267-LESSA-EGLISE1-X
FR-50342-MONTF-NDAME.-X;FR-50342-MTFAR-NDAMEV1-X
FR-50433-REVIL-STMART-X;FR-50433-REVIL-STMART1-X
FR-50509-SSMON-NDAME.-X;FR-50509-SSMON-NDAMEV1-X
FR-50551-SSVIC-EGLISE-X;FR-50551-SSVIC-EGLISE1-X
FR-50129-C.COT-STTRIN-C;FR-50129-C_COT-STTRIN1-C
FR-14366-LISIE-STTHER-Z;FR-14366-LISIE-STTHER1-Y
FR-14366-LISIE-STTHER-T;FR-14366-LISIE-STTHER1-T
FR-14118-CAENN-STPIER-C;FR-14118-CAENN-STPIER1-C
FR-14118-CAENN-AUX DA-X;FR-14118-CAENN-AUX_DA1-X
FR-14366-LISIE-STPIER-C;FR-14366-LISIE-STPIER1-C
FR-14366-LISIE-STPIER-T;FR-14366-LISIE-STPIER1-T
FR-14118-CAENN-STMICH-X;FR-14118-CAENN-STMICH1-X
FR-14118-CAENN-STJEAN-C;FR-14118-CAENN-STJEAN1-C
FR-14118-CAENN-STPIER-T;FR-14118-CAENN-STPIER1-T
FR-14118-CAENN-STJULI-X;FR-14118-CAENN-STJULI1-X
FR-14118-CAENN-STJEAN-T;FR-14118-CAENN-STJEAN1-T
FR-14118-CAENN-DRAC S-X;FR-14118-CAENN-DRAC-S1-X
FR-56034-CARNA-STCORN-X;FR-56034-CARNA-STCORN1-X
FR-56007-AURAY-STGILD-X;FR-56007-AURAY-STGILD1-X
FR-56036-CAUDA-SAINTS-X;FR-56036-CAUDA-SSPEPL1-X
FR-56234-SSQUI-STPIER-X;FR-56234-SSQUI-STPIER1-X
FR-56121-LORIE-NDCHRI-X;FR-56121-LORIE-NDNOUV1-X
FR-56121-LORIE-STLOUI-T;FR-56121-LORIE-STLOUI1-T
FR-56121-LORIE-STLOUI-C;FR-56121-LORIE-STLOUI1-C
FR-26362-VALEN-NDAME.-X;FR-26362-VALEN-NDAMEV1-X
FR-75056-PARIS-STEUST-T;FR-75056-PARIS-STEUST1-T
FR-75056-PARIS-STELIS-T;FR-75056-PARIS-STELIS1-T
FR-35238-RENNE-STJEAN-X;FR-35238-RENNE-STJARC1-X
FR-35288-SSMAL-CONSER-X;FR-35288-SSMAL-MUSIQU1-X
FR-35238-RENNE-STGERM-C;FR-35238-RENNE-STGERM1-C
FR-35238-RENNE-STGERM-T;FR-35238-RENNE-STGERM1-T
FR-35288-SSMAL-STVINC-T;FR-35288-SSMAL-STVINC1-T
FR-35288-SSMAL-STVINC-C;FR-35288-SSMAL-STVINC1-C
FR-35238-RENNE-STMELA-T;FR-35238-RENNE-STMELA1-T
FR-35188-M.MEU-STLOUI-X;FR-35188-M_MEU-STLOUI1-X
FR-35238-RENNE-SAINTE-X;FR-35238-RENNE-STTHEL1-X
FR-44188-SSLIE-SDINT--X;FR-44188-SSLIE-STPHIL1-X
FR-13055-MARSE-NDMAJO-X;FR-13055-MARSE-NDMAJO1-X
FR-92024-CLICH-STVINC-X;FR-92024-CLICH-STVINC1-X
FR-72154-FLECH-STTHOM-X;FR-72154-FLECH-STTHOM1-X
FR-29117-LANNI-STPIER-X;FR-29117-LANNI-SSPEPL1-X
FR-50478-SSTOU-STGERM-X;FR-50478-SSTOU-STGERM1-X
FR-29259-SSLEO-STPAUL-T;FR-62755-SSLEO-STPAUL1-X
